comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J044612-720512,38814,71.550229,-72.08675,284.1778741367781,-35.17879910405334,5.4780758918063635,3.0810605758051928,656.0036363138872,737.9185616813684,4.3605199018674785,1.0936942462088592
J044612-720512,38814,71.550229,-72.08675,284.1778741367781,-35.17879910405334,12.725946817161626,2.247711998617335,3540.220931515923,1250.5783938674958,1.7659648796784337,1.0424654132509303
J044610-720509,38814,71.542326,-72.085869,284.1779625293921,-35.18138365550251,7.93828378288234,2.482180334529645,1377.5373982681401,861.4698928837701,4.13382738462912,0.6497691149866072
J044610-720509,38814,71.542326,-72.085869,284.1779625293921,-35.18138365550251,16.804727795955912,5.104152730610775,6173.239435834348,3750.034788508831,3.2154385020901777,0.7117242240499466
J044451-674636,38814,71.212386,-67.776715,279.2293489055881,-36.77868798784119,14.309043320234347,0.9362934296169819,4475.807035383902,585.7370930644128,2.5759757804074583,0.3518659711239445
J043655-693032,38814,69.229658,-69.509141,281.5726483036777,-36.84726941107722,10.025564096946864,0.7550475723542786,2197.190909199101,330.95068685359865,2.2453829481377383,0.5430217373754264
J043655-693032,38814,69.229658,-69.509141,281.5726483036777,-36.84726941107722,23.549406717073587,3.504660309840923,12122.999810033652,3608.3283779400217,3.623067647390575,0.37420834037173306
J045220-682306,38814,73.08682,-68.385172,279.67575613583875,-35.924029758477666,17.835391418707225,1.261478037353972,6953.6919490987075,983.6542934642223,3.3189581887543067,0.4154429086200851
J045940-695504,38814,74.916687,-69.917959,281.238080194215,-34.85136836826379,9.858270698260762,1.345690590301172,2124.475055361682,579.9974820805344,0.9391011556159389,0.5197520116303389
J045940-695504,38814,74.916687,-69.917959,281.238080194215,-34.85136836826379,19.82614168015853,8.533805609607823,8592.639041128783,7397.093436884353,4.457600591701561,0.5401370549250077
J044415-684211,38814,71.066375,-68.703106,280.3412931466774,-36.52314692635438,10.923797525669505,1.1090940660275905,2608.539643066655,529.6904913011267,3.7532769529632635,0.3211256281646841
J035743-682858,38814,59.432704,-68.48303,282.44639020951035,-40.43617048248789,16.472748741786514,1.5299708035882655,5931.742721265238,1101.8674928139249,5.107890442797914,0.5516613336905265
J035745-682904,38814,59.438091,-68.484717,282.44690181659445,-40.43360183876487,12.34223728053682,1.079312994149297,3329.951749007134,582.4001128646678,4.874497763887153,0.6538384051898316
J035730-694844,38814,59.375006,-69.812341,283.9281917450605,-39.74161084784512,13.431658883111407,0.3936595202912472,3943.750803300525,231.16951716627787,4.9745873740619455,0.20341344384698962
J044746-704843,38814,71.945016,-70.812119,282.6630109907357,-35.516061047022,14.039735559350936,0.5688826086893012,4308.915856242358,349.189951984419,5.3951069366553295,0.24668330436998837
J040247-695523,38814,60.697848,-69.923078,283.7351426821022,-39.29733471800287,8.529254072651465,2.0932764061990237,1590.2751062834975,780.5806535937904,1.7289930944914893,0.4875483428593475
